"_id",avg_views,avg_likes,avg_dislikes,category_titles.0,category_titles.1,category_titles.2,category_titles.3,category_titles.4,category_titles.5,category_titles.6,category_titles.7,category_titles.8,category_titles.9,category_titles.10,category_titles.11,category_titles.12,category_titles.13
False,4831353.887643946,100427.56831621537,5760.154995331466,News & Politics,Sports,Gaming,Comedy,Entertainment,Autos & Vehicles,Science & Technology,Travel & Events,Pets & Animals,Education,Music,People & Blogs,Film & Animation,Howto & Style
True,3397406.169811321,33029.16981132075,3531.811320754717,Science & Technology,Sports,Autos & Vehicles,Gaming,Entertainment,Film & Animation,People & Blogs,Music,Education,News & Politics,,,,
